date,observed_tn,pred_no_swat,pred_response_calibrated_swat,error_no_swat_pred_minus_obs,error_response_calibrated_swat_pred_minus_obs,abs_error_no_swat,abs_error_response_calibrated_swat,daily_abs_error_gain_no_minus_calibrated,abs_error_positive_contribution,needed_correction_obs_minus_no_swat,swat_induced_correction_calibrated_minus_no_swat,correction_direction_agree,storm_window_3d,state_label,cumulative_abs_error_gain
2023-12-14,1.6883333333333332,1.715399471338622,1.875399471338622,0.027066138005288787,0.1870661380052887,0.027066138005288787,0.1870661380052887,-0.15999999999999992,False,-0.027066138005288787,0.15999999999999992,False,1,S2,1.5913062358261152
2023-12-15,1.9116666666666664,1.69413710363099,1.889660317981626,-0.2175295630356764,-0.022006348685040367,0.2175295630356764,0.022006348685040367,0.19552321435063602,True,0.2175295630356764,0.19552321435063602,True,1,S2,1.7868294501767512
2023-12-16,2.185,1.8140031709923845,2.01913228456273,-0.37099682900761555,-0.16586771543726986,0.37099682900761555,0.16586771543726986,0.2051291135703457,True,0.37099682900761555,0.2051291135703457,True,1,S2,1.991958563747097
2023-12-17,2.225,1.9561792101413744,2.207712757340566,-0.2688207898586257,-0.017287242659433932,0.2688207898586257,0.017287242659433932,0.25153354719919174,True,0.2688207898586257,0.25153354719919174,True,1,S2,2.2434921109462884
2023-12-18,2.5233333333333334,1.9699614741065463,2.2721227067886343,-0.5533718592267871,-0.25121062654469917,0.5533718592267871,0.25121062654469917,0.30216123268208794,True,0.5533718592267871,0.30216123268208794,True,1,S2,2.545653343628376
2023-12-19,2.556,2.172823515389022,2.4913103522974316,-0.3831764846109782,-0.06468964770256846,0.3831764846109782,0.06468964770256846,0.31848683690840973,True,0.3831764846109782,0.31848683690840973,True,1,S3,2.864140180536786
2023-12-20,2.3000000000000003,2.193269254595437,2.501730745404563,-0.10673074540456318,0.20173074540456293,0.10673074540456318,0.20173074540456293,-0.09499999999999975,False,0.10673074540456318,0.3084614908091261,True,1,S3,2.769140180536786
2023-12-21,2.318333333333334,2.0349767811488233,2.3471870328921756,-0.2833565521845105,0.02885369955884176,0.2833565521845105,0.02885369955884176,0.25450285262566874,True,0.2833565521845105,0.31221025174335226,True,0,S2,3.023643033162455
2023-12-22,2.2716666666666665,2.0440751004664808,2.3023151358522993,-0.22759156620018572,0.0306484691856328,0.22759156620018572,0.0306484691856328,0.19694309701455293,True,0.22759156620018572,0.2582400353858185,True,0,S1,3.220586130177008
2023-12-23,2.26,2.0387904808494532,2.2559250199013454,-0.22120951915054654,-0.004074980098654368,0.22120951915054654,0.004074980098654368,0.21713453905189217,True,0.22120951915054654,0.21713453905189217,True,0,S2,3.4377206692289
2023-12-24,2.191666666666667,2.0414045153915623,2.071404515391562,-0.15026215127510456,-0.12026215127510476,0.15026215127510456,0.12026215127510476,0.029999999999999805,True,0.15026215127510456,0.029999999999999805,True,0,S3,3.4677206692288998
2023-12-25,2.16,1.9750511035108065,2.1557969641913597,-0.18494889648919366,-0.004203035808640454,0.18494889648919366,0.004203035808640454,0.1807458606805532,True,0.18494889648919366,0.1807458606805532,True,1,S2,3.648466529909453
2023-12-26,2.165,1.9479228711825756,2.014247508707008,-0.21707712881742447,-0.15075249129299184,0.21707712881742447,0.15075249129299184,0.06632463752443263,True,0.21707712881742447,0.06632463752443263,True,1,S2,3.714791167433886
