date,site,target_tn_day,n_obs_day,std_day,mask_y
2023-02-08,排水闸,1.5366666666666668,6,0.029249881291307102,1
2023-02-09,排水闸,1.524,5,0.025768197453450273,1
2023-02-10,排水闸,1.5333333333333332,6,0.011055415967851341,1
2023-02-11,排水闸,1.505,6,0.023629078131263064,1
2023-02-12,排水闸,1.5116666666666667,6,0.029674156357941454,1
2023-02-13,排水闸,1.61,5,0.054037024344425144,1
2023-02-14,排水闸,1.6366666666666667,6,0.060184900284225906,1
2023-02-15,排水闸,1.5683333333333334,6,0.03131382371342652,1
2023-02-16,排水闸,1.5383333333333333,6,0.03236081306491269,1
2023-02-17,排水闸,1.5216666666666667,6,0.021147629234082553,1
2023-02-18,排水闸,1.485,6,0.05737304826019506,1
2023-02-19,排水闸,1.4583333333333333,6,0.035784850922639846,1
2023-02-20,排水闸,1.4583333333333333,6,0.04669641908707304,1
2023-02-21,排水闸,1.4633333333333332,6,0.03944053188733081,1
2023-02-22,排水闸,1.4733333333333334,6,0.039015666369065456,1
2023-02-23,排水闸,1.4433333333333334,6,0.013743685418725548,1
2023-02-24,排水闸,1.46,6,0.01527525231651948,1
2023-02-25,排水闸,1.4033333333333333,6,0.037712361663282484,1
2023-02-26,排水闸,1.3816666666666666,6,0.025440562537456177,1
2023-02-27,排水闸,1.372,5,0.026381811916545768,1
2023-02-28,排水闸,1.356,5,0.024979991993593572,1
2023-03-01,排水闸,1.322,5,0.034292856398964525,1
2023-03-02,排水闸,1.2833333333333334,6,0.05185449728701353,1
2023-03-03,排水闸,1.314,5,0.07088018058667739,1
2023-03-04,排水闸,1.3166666666666667,6,0.021343747458109515,1
2023-03-05,排水闸,1.3,6,0.036968455021364754,1
2023-03-06,排水闸,1.2416666666666667,6,0.04946940693218614,1
2023-03-07,排水闸,1.074,5,0.07199999999999995,1
2023-03-08,排水闸,1.085,6,0.07719024117939605,1
2023-03-09,排水闸,1.1016666666666666,6,0.09208993189027533,1
2023-03-10,排水闸,1.1333333333333333,6,0.10873004286866725,1
2023-03-11,排水闸,1.165,6,0.04536885862938728,1
2023-03-12,排水闸,1.39,6,0.13904435743076143,1
2023-03-13,排水闸,1.4816666666666667,6,0.034359213546813865,1
2023-03-14,排水闸,1.3933333333333333,6,0.033499585403736244,1
2023-03-15,排水闸,1.3416666666666668,6,0.016749792701868164,1
2023-03-16,排水闸,1.418,5,0.10419213022104884,1
2023-03-17,排水闸,1.4966666666666668,6,0.042295258468165106,1
2023-03-18,排水闸,1.42,6,0.02768874620972694,1
2023-03-19,排水闸,1.3671428571428572,7,0.031943828249996926,1
2023-03-20,排水闸,1.34,3,0.021602468994692887,1
2023-03-21,排水闸,1.3150000000000002,6,0.04031128874149273,1
2023-03-22,排水闸,1.2633333333333334,6,0.027487370837451095,1
2023-03-23,排水闸,1.2416666666666667,6,0.028528737947706176,1
2023-03-24,排水闸,1.345,6,0.08616843969807042,1
2023-03-25,排水闸,1.3666666666666665,6,0.022852182001336742,1
2023-03-26,排水闸,1.345,6,0.036855573979159936,1
2023-03-27,排水闸,1.2316666666666667,6,0.035316033500695176,1
2023-03-28,排水闸,1.1766666666666665,6,0.039860869143671304,1
2023-03-29,排水闸,1.1316666666666666,6,0.017716909687891007,1
2023-03-30,排水闸,1.0879999999999999,5,0.06764613810115104,1
2023-03-31,排水闸,0.945,6,0.08421203397773186,1
2023-04-01,排水闸,0.8099999999999999,6,0.09933109617167558,1
2023-04-02,排水闸,0.8283333333333333,6,0.1421755565801973,1
2023-04-03,排水闸,0.93,6,0.045092497528228935,1
2023-04-04,排水闸,1.1533333333333333,6,0.10934146311237816,1
2023-04-05,排水闸,1.2883333333333333,6,0.019507833184532725,1
2023-04-06,排水闸,1.228,5,0.027856776554368263,1
2023-04-07,排水闸,1.1116666666666666,6,0.03184162195757128,1
2023-04-08,排水闸,1.0166666666666666,6,0.030912061651652372,1
2023-04-09,排水闸,0.9500000000000001,6,0.034641016151377525,1
2023-04-10,排水闸,0.93,6,0.03162277660168378,1
2023-04-11,排水闸,0.9066666666666666,6,0.037712361663282526,1
2023-04-12,排水闸,0.8883333333333333,6,0.02034425935955619,1
2023-04-13,排水闸,0.7266666666666667,6,0.08673074554171793,1
2023-04-14,排水闸,0.7716666666666666,6,0.11739061101960224,1
2023-04-15,排水闸,0.9483333333333333,6,0.023392781412696975,1
2023-04-16,排水闸,1.0283333333333333,6,0.07104380495315706,1
2023-04-17,排水闸,0.9257142857142856,7,0.032450904833144396,1
2023-04-18,排水闸,1.01,4,0.020000000000000018,1
2023-04-19,排水闸,0.98,6,0.05627314338711379,1
2023-04-20,排水闸,0.8533333333333334,6,0.06101001739241041,1
2023-04-21,排水闸,0.8683333333333333,6,0.05335936864527373,1
2023-04-22,排水闸,1.2633333333333334,6,0.1638766473770914,1
2023-04-23,排水闸,1.3616666666666666,6,0.033374973990834576,1
2023-04-24,排水闸,1.3083333333333333,6,0.02544056253745627,1
2023-04-25,排水闸,1.3,5,0.06066300355241237,1
2023-04-26,排水闸,1.268,5,0.04118252056394804,1
2023-04-27,排水闸,1.1966666666666665,6,0.048876260995383926,1
2023-04-28,排水闸,1.0999999999999999,6,0.03162277660168373,1
2023-04-29,排水闸,1.1183333333333334,6,0.040173235977313114,1
2023-04-30,排水闸,0.9700000000000001,6,0.050990195135927854,1
2023-05-01,排水闸,0.9066666666666666,6,0.025603819159562,1
2023-05-02,排水闸,0.805,6,0.08015609770940699,1
2023-05-03,排水闸,0.915,6,0.06946221994724901,1
2023-05-04,排水闸,1.0133333333333334,6,0.022852182001336836,1
2023-05-05,排水闸,1.0250000000000001,6,0.027537852736430536,1
2023-05-06,排水闸,1.1133333333333333,6,0.0549747416749021,1
2023-05-07,排水闸,1.2666666666666666,6,0.06289320754704401,1
2023-05-08,排水闸,1.2316666666666667,6,0.02192157739660986,1
2023-05-09,排水闸,1.184,5,0.03720215047547658,1
2023-05-10,排水闸,1.37,2,0.06999999999999995,1
2023-05-11,排水闸,1.3499999999999999,6,0.08793937305515279,1
2023-05-12,排水闸,1.1866666666666665,6,0.03349958540373633,1
2023-05-13,排水闸,1.1583333333333332,6,0.039334745737353155,1
2023-05-14,排水闸,1.1283333333333332,6,0.010671873729054671,1
2023-05-15,排水闸,1.125,6,0.02362907813126296,1
2023-05-16,排水闸,1.1225,4,0.01785357107135703,1
2023-05-17,排水闸,1.1933333333333334,3,0.018856180831641284,1
2023-05-18,排水闸,1.1457142857142857,7,0.03697765458727076,1
2023-05-19,排水闸,1.0983333333333334,6,0.04058598553961967,1
2023-05-20,排水闸,1.0816666666666668,6,0.02409472049133496,1
2023-05-21,排水闸,1.1033333333333333,6,0.05906681715556447,1
2023-05-22,排水闸,1.5533333333333335,6,0.18571184369578828,1
2023-05-23,排水闸,1.4799999999999998,3,0.008164965809277268,1
2023-05-24,排水闸,1.48,1,0.0,1
2023-05-25,排水闸,1.33,3,0.0355902608401043,1
2023-05-26,排水闸,1.31,6,0.07234178138070235,1
2023-05-27,排水闸,1.225,6,0.09411871935663664,1
2023-05-28,排水闸,1.1083333333333334,6,0.056100108932356084,1
2023-05-29,排水闸,1.046,5,0.04127953488110062,1
2023-05-30,排水闸,1.1166666666666667,9,0.05981452814975451,1
2023-05-31,排水闸,1.2888888888888888,9,0.04700932400290266,1
2023-06-01,排水闸,1.3322222222222222,9,0.027799991118215055,1
2023-06-02,排水闸,1.17,1,0.0,1
2023-06-04,排水闸,1.7149999999999999,6,0.06576473218982959,1
2023-06-05,排水闸,1.7233333333333334,6,0.04027681991198195,1
2023-06-06,排水闸,1.5966666666666667,6,0.09140872800534723,1
2023-06-07,排水闸,1.4083333333333332,6,0.06256108126374484,1
2023-06-08,排水闸,1.208,5,0.034292856398964525,1
2023-06-09,排水闸,1.1099999999999999,5,0.05059644256269402,1
2023-06-10,排水闸,1.1166666666666667,6,0.01885618083164119,1
2023-06-11,排水闸,1.0783333333333334,6,0.016749792701868167,1
